ARTIST,SONG
6:00 AM,Rahsaan Patterson
4:00 PM,Sukiyaki
1,Happy Xmas (War Is Over)-The Idols
2,I'm Your Man-Shane Richie
3,Ladies Night-Atomic Kitten
4,You Don't Miss Your Water-Craig David
5,I'm Lovin It-Justin Timberlake
6,50-50-Lemar
6,Promise Eve
7,Don't Tell Me You're Sorry-S Club 8
8,Addicted-Enrique
9,Christmastime-The Darkness
10,Everybody Cries-Liberty X
11,Thoia Thoing-R Kelly
12,Signed Sealed Delivered-Blue
13,Real World-D Side
14,You Make Me Feel Brand New-Simply Red
15,Behind Blue Eyes-Limp Bizkit
16,Mad World-Andrews-Jules
44,When Your Heart Stops Beating
44,When Your Heart Stops Beating
44,When Your Heart Stops Beating (Vocal)
112,Come See Me
112,Cupid
112,Dance With Me
112,It's Over Now
112,Only You
112,Peaches & Cream
112,Peaches And Cream
112,Right Here For You
112,Right Here For You (Vocal)
112,U Already Know
112,U Already Know (Vocal)
311,All Mixed Up
311,Amber 
311,Amber
311,Beyond The Gray Sky
311,Beyond The Grey Sky
311,Beyond The Grey Sky (Vocal)
311,Creatures (For A While)
311,Creatures (For A While) (Vocal)
311,Don't Tread On Me
311,Don't Tread On Me (Vocal)
311,Dont Tread On Me
311,Down
311,FIRST STRAW
311,First Straw
311,First Straw (Vocal)
311,Hey You
311,I'll Be Here Awhile
311,Love Song
311,Love Song (Vocal)
311,Lovesong
311,You Wouldn't Believe
311,You Wouldnt Believe
411,Dumb
411,Teardrops
702,Can We Get It Together
702,Get It Together
702,I Still Love You
702,Steelo
702,Where My Girls At
702,Where My Girls At (Vocal)
911,All I Want Is You
911,Baby Come To Me
911,How Do You Want Me To Love You
911,More Than A Woman
911,Party People (Friday Night)
911,Private Number
1234,Feist
1927,Compulsory Hero
1927,If I Could
1975,Chocol -
1975,City
1985,Bowling For Soup
5050,Lemar
!,Thats Why I Hate Pontiacs
!,Westlife The Rose
01 Beyonce,Crazy In Love
02 Eminem,Business
02 Mary Chapin Carpenter,Down At The Twist And
02 Steel Magnolia,Last Night Again
03 Amy Studt,Misfit
03 Band Perry,You Lie
03 K Rogers D Parton,Islands In The Stream
04 50 Cent,21 Questions
04 Gwyneth Paltrow & Tim McGraw,Me And Tennessee
04 Patsy Cline,I Fall To Pieces
05 Patsy Cline,Walkin After Midnight
05 Pink,Feel Good Time
05 Trace Adkins,Timing Is Everything
06 Julianne Hough,Is That So Wrong
06 Junior Senior,Rhythm Bandits
06 Kathy Mattea,Eighteen Wheels And A Dozen Ros
07 Coldplay,God Put A Smile Upon My Face
07 Travis Tritt,Heres A Quarter
07- Zoe Birkett,I Wanna Dance With Somebody
08 Blazin' Squad,We Just Be Dreamin
08 Charlie Daniels Band,Devil Went Down To
08 Cory Morrow,Brand New Me
09 Alabama,Are You Sure Hank Done It This Way
09 Girls Aloud,Some Kind Of Miracle
09 Ronnie Milsap,Lost In The Fifties Tonight
"1 Giant Leap & Maxi, Jazz & Robbie Williams",My Culture
"10 Parton, Dolly",9 To 5
10 XTM & DJ Chucky T. Annia,Fly On The Wings Of Love
10 Years,Beautiful
10 Years,Through The Iris
10 Years,Wasteland
10 Years,Wasteland (Vocal)
10 Years Vocal,Beautiful
10 Years W-Vocal,Through The Iris
"10,000 Maniacs",Because The Night
"10,000 Maniacs",Candy Everybody Wants
"10,000 Maniacs",Like The Weather
"10,000 Maniacs",More Than This
"10,000 Maniacs",More Than This1
"10,000 Maniacs",These Are The Days
"10,000 Maniacs",Trouble Me
100 Proof Aged In Soul,Somebody's Been Sleeping
100 Years,Five For Fighting
101 Dalmations,Cruella De Vil
10CC,"Things We Do For Love, The"
10CC,Dreadlock Holiday
10CC,Dreadlock Holiday (No Vocals)
10CC,I'm Not In Love
10CC,Rubber Bullets
10CC,The Things We Do For Love (No Vocals)
10Cc,"Things We Do For Love, The"
10Cc,Dreadlock Holiday
10Cc,Good Morning Judge
10Cc,I'm Mandy
10Cc,I'm Not In Love
10Cc,Rubber Bullets
10Cc,Wall Street Shuffle
10Cc,We Do For Love
10cc,Donna
10cc,I'm Not In Love
10cc,Rubber Bullets
11 Alabama,Mountain Music
11 Christina Aguilera,Come On Over
112 & Ludacris,Hot & Wet
112 & Ludacris,Hot & Wet (Vocal)
112 & Ludacris,Hot And Wet
112 & Ludacris Wvocal,Hot And Wet
112 & Super Cat,Na Na Na
112 & Super Cat,Na Na Na (Vocal)
112 And Ludacris,Hot And Wet
112 And Super Cat,Na Na Na
12 Cheeky Girls,Horray Horray(Its A Cheeky Holiday)
12 Gauge,Dunkie Butt
12 Kenny Rogers,Through The Years
